iteration,style_loss,content_loss,total_loss,inference_time,ssim,psnr,lpips
57,2220806700.0,3062831.2,2223869400.0,1314.269781112671,0.18875523,18.091206271013228,0.0
58,2173140000.0,3072132.0,2176212200.0,1329.5612335205078,0.18820591,18.051622662594628,0.0
59,2131593100.0,3080867.5,2134673900.0,1291.572093963623,0.1876651,18.01285889772831,0.0
60,2093631600.0,3086971.2,2096718600.0,1317.5177574157717,0.18712704,17.974879037630377,0.0
61,2055603200.0,3089599.5,2058692700.0,1363.8403415679932,0.18659347,17.937661825334462,0.0
62,2017204700.0,3088680.2,2020293400.0,1328.172206878662,0.18607242,17.901187380960693,0.0
63,1981232000.0,3085040.5,1984317000.0,1291.1992073059082,0.18557273,17.86541399928922,0.0
64,1949607600.0,3080462.0,1952688000.0,1334.4378471374512,0.18510531,17.83033104399648,0.0
65,1920721900.0,3076730.2,1923798700.0,1316.8730735778809,0.18467613,17.79590607919944,0.0
66,1890464800.0,3075285.2,1893540100.0,1318.328619003296,0.18428726,17.762122803040455,0.0
67,1856010100.0,3077081.5,1859087200.0,1352.757692337036,0.1839362,17.728940457266166,0.0
68,1818530200.0,3081856.0,1821612000.0,1363.9001846313477,0.18361348,17.696342082053228,0.0
69,1781675300.0,3088723.5,1784764000.0,1351.257085800171,0.1833076,17.66429925775283,0.0
70,1748404600.0,3096394.0,1751501000.0,1275.7580280303955,0.18300782,17.632806299277043,0.0
71,1718167600.0,3103266.2,1721270800.0,1338.2859230041504,0.18270727,17.601857508601377,0.0
72,1688945900.0,3107835.5,1692053800.0,1293.970823287964,0.1824037,17.57145269699446,0.0
73,1659099100.0,3109638.5,1662208800.0,1294.3017482757568,0.18209891,17.54157831320223,0.0
74,1629553500.0,3109005.0,1632662500.0,1266.262769699097,0.18179858,17.512220186337547,0.0
75,1602242800.0,3106590.5,1605349400.0,1320.915460586548,0.18150908,17.483355689062986,0.0
76,1577718300.0,3103686.0,1580822000.0,1285.2389812469482,0.18123715,17.454958020702502,0.0
77,1554685600.0,3101517.0,1557787100.0,1282.376766204834,0.18098748,17.42701698803637,0.0
78,1530823000.0,3101039.0,1533924100.0,1306.9217205047607,0.18076164,17.399521375561875,0.0
79,1505210900.0,3102481.2,1508313300.0,1291.884183883667,0.18055736,17.37245851037071,0.0
80,1479283100.0,3105787.2,1482388900.0,1305.5408000946045,0.18036991,17.34583032874989,0.0
81,1454702200.0,3110294.5,1457812500.0,1357.6855659484863,0.18019412,17.31962983584984,0.0
82,1431994000.0,3115104.8,1435109100.0,1284.313678741455,0.18002462,17.293868888539905,0.0
83,1410289400.0,3119136.5,1413408500.0,1363.4583950042725,0.17985766,17.268537937406805,0.0
84,1388255900.0,3121895.5,1391377800.0,1314.3651485443115,0.1796921,17.24363568696856,0.0
85,1365737900.0,3122942.0,1368860800.0,1319.6237087249756,0.17952897,17.21914498206391,0.0
86,1343616500.0,3122628.5,1346739200.0,1372.4687099456787,0.17937072,17.19504489577785,0.0
87,1323273500.0,3121883.5,1326395400.0,1349.2224216461182,0.17921926,17.17133126104969,0.0
88,1304448900.0,3121291.5,1307570200.0,1350.841045379639,0.17907767,17.147979999791424,0.0
89,1285802400.0,3121433.0,1288923800.0,1265.4297351837158,0.17894737,17.12498253649471,0.0
90,1266012800.0,3122504.0,1269135400.0,1439.3820762634275,0.17882729,17.102330728440148,0.0
91,1244901100.0,3124498.5,1248025600.0,1322.554111480713,0.17871441,17.08001531117163,0.0
92,1223942900.0,3127016.5,1227070000.0,1322.69024848938,0.17860484,17.05801799059416,0.0
93,1204554600.0,3129511.0,1207684100.0,1324.4256973266602,0.1784941,17.036325875345643,0.0
94,1186794800.0,3131321.5,1189926000.0,1346.9524383544922,0.17837866,17.014916061863858,0.0
95,1169827800.0,3131979.0,1172959900.0,1319.64373588562,0.17825739,16.99378048012383,0.0
96,1152561800.0,3131322.8,1155693000.0,1310.290813446045,0.17813087,16.972903115156107,0.0
97,1134903000.0,3129833.5,1138032900.0,1357.1710586547852,0.17800172,16.952274423893673,0.0
98,1117884800.0,3128069.8,1121012900.0,1363.722324371338,0.17787415,16.931893420098355,0.0
99,1102293500.0,3126543.5,1105420000.0,1384.5441341400146,0.17775066,16.91175372035427,0.0
100,1088133500.0,3126082.0,1091259600.0,1328.949213027954,0.17763443,16.891854732728063,0.0
101,1074482800.0,3127116.2,1077610000.0,1349.603891372681,0.17752773,16.872204996082935,0.0
102,1060418400.0,3129777.0,1063548200.0,1344.3326950073242,0.17743038,16.852817669881134,0.0
103,1045775800.0,3133567.5,1048909400.0,1334.5346450805664,0.1773401,16.833708901262987,0.0
104,1031238660.0,3138146.0,1034376800.0,1296.1182594299316,0.17725374,16.81489125454417,0.0
105,1017451700.0,3142456.0,1020594200.0,1373.1815814971924,0.17716724,16.79637377060111,0.0
106,1004269000.0,3145326.2,1007414340.0,1449.3727684020996,0.17707853,16.778152609455937,0.0
107,991276800.0,3146307.0,994423100.0,1380.2785873413086,0.17698604,16.760221054427276,0.0
108,978016260.0,3145238.5,981161500.0,1343.6200618743896,0.17689027,16.742561089211524,0.0
109,964742200.0,3142622.5,967884800.0,1340.8946990966797,0.17679305,16.725143137224578,0.0
110,952045200.0,3139400.5,955184600.0,1319.569110870361,0.17669727,16.707946339333137,0.0
111,940292400.0,3136513.5,943428900.0,1329.1339874267578,0.17660566,16.69093932582565,0.0
112,929010800.0,3134907.2,932145700.0,1389.4901275634766,0.17652021,16.674103355275665,0.0
113,917308860.0,3135109.5,920443970.0,1287.7118587493896,0.17644215,16.65743161498336,0.0
114,904770400.0,3137409.8,907907840.0,1306.4167499542236,0.17637034,16.640930113207695,0.0
115,891840000.0,3141390.2,894981400.0,1341.3827419281006,0.17630243,16.624603459212608,0.0
116,879379000.0,3146342.5,882525400.0,1405.6413173675537,0.17623651,16.608474665517544,0.0
117,868073400.0,3151489.0,871224900.0,1359.3461513519287,0.17616995,16.592566246231208,0.0
118,857687550.0,3155852.5,860843400.0,1370.6049919128418,0.17610182,16.576889721207895,0.0
119,847578900.0,3158527.5,850737400.0,1307.647466659546,0.17603163,16.561461141523488,0.0
120,837264000.0,3159241.5,840423230.0,1312.3009204864502,0.17596014,16.54628078404667,0.0
121,826840640.0,3158252.5,829998900.0,1318.962574005127,0.17588907,16.531337322696015,0.0
122,816818500.0,3155915.5,819974400.0,1285.09783744812,0.17582138,16.5166224872595,0.0
123,807463500.0,3153181.0,810616640.0,1374.897003173828,0.17575939,16.50211835208823,0.0
124,798405570.0,3151054.0,801556600.0,1326.709508895874,0.175704,16.48779892121349,0.0
125,789159600.0,3150308.0,792309950.0,1348.2348918914795,0.17565592,16.4736551429263,0.0
126,779383300.0,3151322.2,782534600.0,1334.813117980957,0.1756146,16.459683871110464,0.0
127,769332740.0,3154059.5,772486800.0,1295.1960563659668,0.17557813,16.44587973953628,0.0
128,759675600.0,3157891.5,762833500.0,1307.7471256256104,0.17554396,16.432244881734153,0.0
129,750553150.0,3162257.2,753715400.0,1306.8222999572754,0.17550953,16.41879079769943,0.0
130,741734000.0,3166221.2,744900200.0,1265.2814388275146,0.17547391,16.405520767247253,0.0
131,732843400.0,3169167.8,736012540.0,1382.4176788330078,0.17543638,16.39244895480204,0.0
132,723879040.0,3170865.0,727049900.0,1340.139865875244,0.17539747,16.37957901059407,0.0
133,715084100.0,3171202.5,718255300.0,1273.334264755249,0.17535906,16.366913729793456,0.0
134,706789400.0,3170497.5,709959900.0,1340.1596546173096,0.17532276,16.35444393142445,0.0
135,698953300.0,3169220.0,702122500.0,1320.6474781036377,0.17529075,16.34217245831799,0.0
136,691228600.0,3168032.8,694396700.0,1322.6616382598877,0.17526342,16.330080219740925,0.0
137,683254000.0,3167441.2,686421440.0,1385.1451873779297,0.175241,16.31815577118945,0.0
138,675001400.0,3167703.5,678169100.0,1316.7483806610107,0.1752227,16.306394446233814,0.0
139,666918340.0,3168756.5,670087100.0,1300.1179695129397,0.17520756,16.294791319017662,0.0
140,659254300.0,3170501.2,662424770.0,1286.520004272461,0.17519395,16.283345338893376,0.0
141,651987700.0,3172485.2,655160200.0,1309.1237545013428,0.17517959,16.272053893246174,0.0
142,644842600.0,3174395.5,648017000.0,1344.8090553283691,0.17516439,16.260922638382215,0.0
143,637617900.0,3175880.0,640793800.0,1305.1118850708008,0.17514807,16.24994826725323,0.0
144,630399040.0,3176750.2,633575800.0,1375.6301403045654,0.1751314,16.239129899962407,0.0
145,623514800.0,3177237.5,626692030.0,1310.253620147705,0.17511672,16.22847393091776,0.0
146,617196900.0,3177550.5,620374460.0,1343.0399894714355,0.17510538,16.21797953890509,0.0
147,611227600.0,3178026.0,614405600.0,1282.8137874603271,0.17509864,16.207649114044198,0.0
148,605051100.0,3178868.0,608229950.0,1327.0349502563477,0.17509674,16.197482818357788,0.0
149,598331970.0,3180120.5,601512060.0,1328.5789489746094,0.17509921,16.187479355215203,0.0
150,591257900.0,3181800.2,594439740.0,1322.955846786499,0.17510487,16.177633663496053,0.0
151,584347140.0,3183641.2,587530750.0,1329.6031951904297,0.17511077,16.16794314269304,0.0
152,577891260.0,3185330.0,581076600.0,1353.9655208587646,0.17511517,16.158400424323737,0.0
153,571879500.0,3186530.0,575066050.0,1305.52339553833,0.17511672,16.148995874606438,0.0
154,565967040.0,3187081.5,569154100.0,1280.7109355926514,0.17511548,16.13972188434571,0.0
155,559899000.0,3187194.5,563086200.0,1317.5971508026123,0.17511159,16.130570952659024,0.0
156,553833860.0,3187054.8,557020900.0,1322.6265907287598,0.17510636,16.121541407709906,0.0
157,548101200.0,3187108.8,551288300.0,1328.6590576171875,0.17510204,16.11263281553192,0.0
158,542872600.0,3187753.8,546060350.0,1305.941104888916,0.1751005,16.10384504861932,0.0
