iteration,style_loss,content_loss,total_loss,inference_time,ssim,psnr,lpips,FLOPs
1,0.0,0.2818254232406616,0.2818254232406616,3138.0,-0.0038627344,11.520797826838145,0.9390588402748108,8030986240.0
2,0.0,0.2303066253662109,0.2303066253662109,2982.0,-0.0006195861,12.39753521925306,0.9749430418014526,8030986240.0
3,0.0,0.2642429172992706,0.2642429172992706,2966.0,0.07405389,11.800566085002178,0.8428953886032104,8030986240.0
4,0.0,0.2835945785045624,0.2835945785045624,3109.0,-0.0035311345,11.493619994867458,0.9745635390281676,8030986240.0
5,0.0,0.3223598301410675,0.3223598301410675,3075.0,0.046394214,10.93719047378572,0.9753483533859252,8030986240.0
6,0.0,0.4261391460895538,0.4261391460895538,3057.0,-0.0407453,9.725085506923838,1.0094131231307983,8030986240.0
7,0.0,0.2666557133197784,0.2666557133197784,3145.0,0.025949076,11.761091033771528,0.9985686540603638,8030986240.0
8,0.0,0.2173419594764709,0.2173419594764709,3003.0,0.01662385,12.649164584417306,0.9326746463775636,8030986240.0
9,0.0,0.3522047102451324,0.3522047102451324,3089.0,-0.003656257,10.55264804718104,0.9648968577384948,8030986240.0
10,0.0,0.2981695234775543,0.2981695234775543,3128.0,0.0008995581,11.275967390194864,0.9424556493759156,8030986240.0
11,0.0,0.2922676503658294,0.2922676503658294,3092.0,0.005908155,11.362792502766352,0.9674521684646606,8030986240.0
12,0.0,0.249769702553749,0.249769702553749,2897.0,0.0017152657,12.04520245784848,0.9483909010887146,8030986240.0
13,0.0,0.2975838482379913,0.2975838482379913,2930.0,0.00025590663,11.284506351395136,0.9821926355361938,8030986240.0
14,0.0,0.3413914144039154,0.3413914144039154,3149.0,0.0016037644,10.68807442147877,0.9241656064987184,8030986240.0
15,0.0,0.344591349363327,0.344591349363327,3017.0,0.0031175031,10.647556416995084,0.9552571773529052,8030986240.0
16,0.0,0.3927582204341888,0.3927582204341888,2967.0,-0.0005488711,10.07934737159814,0.9767866134643556,8030986240.0
