iteration,style_loss,content_loss,total_loss,inference_time,ssim,psnr,lpips
0,0.0022282595746219,0.0,0.0022282595746219,1825.5748748779297,0.9999992,94.79785467254132,1.0123115679050445e-08
1,0.0022287510878716,0.0213092724482218,0.0235380231666689,1823.930253982544,0.9973754012,94.52792400520978,0.0024003775480333
2,0.0022292426011214,0.0426185448964436,0.0448477867587159,1822.2856330871584,0.9947516024,94.25799333787822,0.004800744972951
3,0.0022297341143712,0.0639278173446655,0.0661575503507629,1820.6410121917725,0.9921278036,93.98806267054668,0.0072011123978687
4,0.002230225627621,0.0852370897928873,0.0874673139428099,1818.9963912963867,0.9895040048,93.71813200321512,0.0096014798227863
5,0.0022307171408707,0.1065463622411092,0.1087770775348569,1817.351770401001,0.986880206,93.44820133588355,0.012001847247704
6,0.0022312086541205,0.127855634689331,0.1300868411269038,1815.7071495056152,0.9842564072,93.178270668552,0.0144022146726217
7,0.0022317001673703,0.1491649071375529,0.1513966047189509,1814.0625286102293,0.9816326084,92.90834000122044,0.0168025820975394
8,0.0022321916806201,0.1704741795857747,0.1727063683109979,1812.417907714844,0.9790088096,92.6384093338889,0.0192029495224571
9,0.0022326831938698,0.1917834520339965,0.1940161319030449,1810.773286819458,0.9763850108,92.36847866655734,0.0216033169473747
10,0.0022331747071196,0.2130927244822184,0.2153258954950919,1809.1286659240725,0.973761212,92.0985479992258,0.0240036843722924
11,0.0022336662203694,0.2344019969304402,0.2366356590871388,1807.4840450286863,0.9711374132,91.82861733189424,0.0264040517972101
12,0.0022341577336192,0.2557112693786621,0.2579454226791858,1805.8394241333008,0.9685136144,91.55868666456269,0.0288044192221278
13,0.0022346492468689,0.2770205418268839,0.2792551862712328,1804.194803237915,0.9658898156,91.28875599723112,0.0312047866470455
14,0.0022351407601187,0.2983298142751058,0.3005649498632798,1802.5501823425293,0.9632660168,91.01882532989956,0.0336051540719631
15,0.0022356322733685,0.3196390867233276,0.3218747134553268,1800.9055614471436,0.960642218,90.74889466256802,0.0360055214968808
16,0.0022361237866183,0.3409483591715495,0.3431844770473738,1799.2609405517578,0.9580184192,90.47896399523646,0.0384058889217985
17,0.002236615299868,0.3622576316197713,0.3644942406394209,1797.616319656372,0.9553946204,90.2090333279049,0.0408062563467162
18,0.0022371068131178,0.3835669040679931,0.3858040042314679,1795.9716987609863,0.9527708216,89.93910266057335,0.0432066237716338
19,0.0022375983263676,0.404876176516215,0.4071137678235149,1794.3270778656006,0.9501470228,89.6691719932418,0.0456069911965515
20,0.0022380898396174,0.4261854489644368,0.4284235314155619,1792.6824569702148,0.947523224,89.39924132591024,0.0480073586214692
21,0.0022385813528671,0.4474947214126586,0.4497332950076088,1791.037836074829,0.9448994252,89.12931065857869,0.0504077260463869
22,0.0022390728661169,0.4688039938608805,0.4710430585996558,1789.3932151794434,0.9422756264,88.85937999124714,0.0528080934713046
23,0.0022395643793667,0.4901132663091023,0.4923528221917028,1787.7485942840576,0.9396518276,88.58944932391557,0.0552084608962222
24,0.0022400558926165,0.5114225387573242,0.5136625857837498,1786.103973388672,0.9370280288,88.31951865658402,0.0576088283211399
25,0.0022405474058662,0.532731811205546,0.5349723493757969,1784.459352493286,0.93440423,88.04958798925247,0.0600091957460576
26,0.002241038919116,0.5540410836537679,0.5562821129678438,1782.8147315979004,0.9317804312,87.77965732192092,0.0624095631709753
27,0.0022415304323658,0.5753503561019897,0.5775918765598909,1781.1701107025146,0.9291566324,87.50972665458936,0.0648099305958929
28,0.0022420219456156,0.5966596285502116,0.5989016401519378,1779.525489807129,0.9265328336,87.2397959872578,0.0672102980208106
29,0.0022425134588653,0.6179689009984334,0.6202114037439849,1777.8808689117432,0.9239090348,86.96986531992626,0.0696106654457283
30,0.0022430049721151,0.6392781734466553,0.6415211673360318,1776.2362480163574,0.921285236,86.69993465259469,0.072011032870646
31,0.0022434964853649,0.6605874458948771,0.6628309309280789,1774.5916271209717,0.9186614372,86.43000398526314,0.0744114002955637
32,0.0022439879986147,0.681896718343099,0.6841406945201258,1772.947006225586,0.9160376384,86.16007331793159,0.0768117677204813
33,0.0022444795118644,0.7032059907913208,0.7054504581121728,1771.3023853302002,0.9134138396,85.89014265060004,0.079212135145399
34,0.0022449710251142,0.7245152632395426,0.7267602217042198,1769.6577644348145,0.9107900408,85.62021198326849,0.0816125025703167
35,0.002245462538364,0.7458245356877645,0.7480699852962668,1768.0131435394287,0.908166242,85.35028131593693,0.0840128699952344
36,0.0022459540516138,0.7671338081359863,0.7693797488883138,1766.368522644043,0.9055424432,85.08035064860537,0.0864132374201521
37,0.0022464455648635,0.7884430805842082,0.7906895124803608,1764.7239017486572,0.9029186444,84.81041998127382,0.0888136048450697
38,0.0022469370781133,0.80975235303243,0.8119992760724078,1763.0792808532717,0.9002948456,84.54048931394226,0.0912139722699874
39,0.0022474285913631,0.8310616254806519,0.8333090396644548,1761.4346599578855,0.8976710468,84.27055864661071,0.0936143396949051
40,0.0022479201046129,0.8523708979288737,0.8546188032565019,1759.7900390625,0.895047248,84.00062797927916,0.0960147071198228
41,0.0022484116178626,0.8736801703770956,0.8759285668485488,1758.1454181671145,0.8924234491999999,83.73069731194761,0.0984150745447405
42,0.0022489031311124,0.8949894428253173,0.8972383304405958,1756.5007972717283,0.8897996504,83.46076664461604,0.1008154419696581
43,0.0022493946443622,0.9162987152735392,0.9185480940326428,1754.8561763763428,0.8871758516,83.1908359772845,0.1032158093945758
44,0.002249886157612,0.937607987721761,0.9398578576246898,1753.211555480957,0.8845520527999999,82.92090530995294,0.1056161768194935
45,0.0022503776708617,0.9589172601699828,0.9611676212167368,1751.5669345855713,0.881928254,82.65097464262138,0.1080165442444112
46,0.0022508691841115,0.9802265326182048,0.9824773848087838,1749.9223136901855,0.8793044552,82.38104397528983,0.1104169116693288
47,0.0022513606973613,1.0015358050664265,1.0037871484008307,1748.2776927947998,0.8766806564,82.11111330795828,0.1128172790942465
48,0.0022518522106111,1.0228450775146485,1.0250969119928777,1746.633071899414,0.8740568576,81.84118264062673,0.1152176465191642
49,0.0022523437238608,1.0441543499628705,1.0464066755849248,1744.9884510040283,0.8714330588,81.57125197329516,0.1176180139440819
50,0.0022528352371106,1.065463622411092,1.0677164391769718,1743.3438301086426,0.8688092599999999,81.30132130596361,0.1200183813689996
51,0.0022533267503604,1.086772894859314,1.0890262027690187,1741.6992092132568,0.8661854612,81.03139063863206,0.1224187487939172
52,0.0022538182636102,1.1080821673075358,1.1103359663610657,1740.054588317871,0.8635616624,80.7614599713005,0.1248191162188349
53,0.0022543097768599,1.1293914397557576,1.1316457299531129,1738.4099674224854,0.8609378636,80.49152930396895,0.1272194836437526
54,0.0022548012901097,1.1507007122039794,1.1529554935451598,1736.7653465270996,0.8583140647999999,80.2215986366374,0.1296198510686703
55,0.0022552928033595,1.1720099846522014,1.1742652571372068,1735.120725631714,0.855690266,79.95166796930584,0.132020218493588
56,0.0022557843166093,1.1933192571004232,1.1955750207292537,1733.476104736328,0.8530664672,79.68173730197428,0.1344205859185056
57,0.002256275829859,1.214628529548645,1.2168847843213006,1731.8314838409424,0.8504426683999999,79.41180663464273,0.1368209533434233
58,0.0022567673431088,1.2359378019968668,1.2381945479133478,1730.1868629455566,0.8478188696,79.14187596731118,0.139221320768341
59,0.0022572588563586,1.2572470744450888,1.2595043115053948,1728.542242050171,0.8451950708,78.87194529997961,0.1416216881932587
60,0.0022577503696084,1.2785563468933103,1.2808140750974415,1726.8976211547852,0.842571272,78.60201463264806,0.1440220556181763
61,0.0022582418828581,1.2998656193415323,1.3021238386894889,1725.2530002593994,0.8399474732,78.33208396531651,0.146422423043094
62,0.0022587333961079,1.321174891789754,1.3234336022815358,1723.6083793640137,0.8373236744,78.06215329798496,0.1488227904680117
63,0.0022592249093577,1.342484164237976,1.3447433658735828,1721.963758468628,0.8346998755999999,77.7922226306534,0.1512231578929294
64,0.0022597164226075,1.363793436686198,1.3660531294656295,1720.3191375732422,0.8320760768,77.52229196332185,0.1536235253178471
65,0.0022602079358572,1.3851027091344197,1.387362893057677,1718.6745166778564,0.829452278,77.2523612959903,0.1560238927427647
66,0.002260699449107,1.4064119815826417,1.4086726566497236,1717.0298957824707,0.8268284792,76.98243062865873,0.1584242601676824
67,0.0022611909623568,1.4277212540308637,1.4299824202417708,1715.385274887085,0.8242046804,76.71249996132718,0.1608246275926001
68,0.0022616824756066,1.4490305264790853,1.4512921838338178,1713.7406539916992,0.8215808816,76.44256929399563,0.1632249950175178
69,0.0022621739888563,1.470339798927307,1.4726019474258647,1712.0960330963137,0.8189570828,76.17263862666408,0.1656253624424354
70,0.0022626655021061,1.491649071375529,1.4939117110179116,1710.4514122009275,0.8163332839999999,75.90270795933252,0.1680257298673531
71,0.0022631570153559,1.5129583438237508,1.5152214746099588,1708.806791305542,0.8137094852,75.63277729200097,0.1704260972922708
